epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.424,1.29615,2.20217,1.63737,1.14819,0.12845,0.23563,0.0415,0.01614,0.1081,0.25271,0.04023,0.0124,1.9671,21.3442,12.2488,2.18586,0.000553033,0.000553033,0.000553033
2,222.952,1.4658,2.36431,1.38055,1.27935,0.40291,0.33043,0.30244,0.14919,0.41006,0.27981,0.26366,0.12042,1.78306,32.1414,1.67433,1.66734,0.00109772,0.00109772,0.00109772
3,326.789,1.48002,2.61631,1.3944,1.29456,0.1232,0.18797,0.01606,0.00783,0.09028,0.17518,0.01467,0.00512,nan,nan,nan,nan,0.00163141,0.00163141,0.00163141
4,430.529,1.46122,2.42691,1.34957,1.28089,0.62961,0.34158,0.28105,0.1388,0.62798,0.33906,0.2621,0.11988,1.41265,2.53226,2.75855,1.33637,0.00161749,0.00161749,0.00161749
5,534.073,1.40558,2.28938,1.24065,1.23967,0.57644,0.36277,0.38728,0.21111,0.62761,0.35237,0.36991,0.17972,1.44598,2.94817,1.40097,1.35491,0.00160099,0.00160099,0.00160099
6,637.989,1.39815,2.23955,1.18765,1.22601,0.66248,0.47248,0.52104,0.2838,0.64637,0.46386,0.51007,0.26154,1.34018,2.2943,1.39761,1.26938,0.00158448,0.00158448,0.00158448
7,741.704,1.35438,2.15677,1.13167,1.21911,0.55798,0.40536,0.43664,0.24788,0.54109,0.39313,0.43208,0.21879,1.35856,2.36826,1.26619,1.27385,0.00156798,0.00156798,0.00156798
8,845.239,1.31953,2.07312,1.13767,1.20155,0.84322,0.50847,0.58524,0.32928,0.82792,0.50114,0.57474,0.27851,1.27365,2.14657,0.98839,1.24137,0.00155148,0.00155148,0.00155148
9,949.164,1.30039,2.021,1.02861,1.16926,0.78895,0.46385,0.53589,0.31548,0.79634,0.46451,0.53201,0.27759,1.23622,2.1981,1.00439,1.22515,0.00153497,0.00153497,0.00153497
10,1052.69,1.28597,2.04289,1.05433,1.18314,0.70723,0.50132,0.5654,0.31515,0.72541,0.48818,0.5488,0.28861,1.32781,2.21072,1.00893,1.2627,0.00151847,0.00151847,0.00151847
11,1156.26,1.27234,1.92055,1.0056,1.16108,0.73634,0.50899,0.56396,0.33076,0.72481,0.503,0.55153,0.2886,1.24573,2.17359,0.95382,1.19894,0.00150197,0.00150197,0.00150197
12,1260.15,1.2187,1.94086,0.9825,1.14827,0.78321,0.51326,0.57813,0.33179,0.69776,0.52125,0.55403,0.2867,1.21837,2.09017,0.93376,1.20046,0.00148546,0.00148546,0.00148546
13,1364.07,1.23833,1.92479,0.99295,1.1486,0.78123,0.53832,0.61119,0.35091,0.77615,0.5359,0.59966,0.3142,1.20881,2.12469,0.94242,1.18686,0.00146896,0.00146896,0.00146896
14,1467.97,1.21044,1.8398,0.94487,1.15254,0.82139,0.55375,0.6249,0.34144,0.8025,0.53601,0.60015,0.29722,1.28897,2.02269,0.95875,1.23662,0.00145246,0.00145246,0.00145246
15,1571.62,1.23437,1.91201,0.97508,1.13504,0.8111,0.57127,0.63476,0.35779,0.80845,0.56945,0.62414,0.31373,1.21091,2.04089,0.87146,1.19843,0.00143595,0.00143595,0.00143595
16,1675.65,1.21009,1.86852,0.89411,1.13897,0.79096,0.52968,0.63003,0.36629,0.78652,0.52604,0.61256,0.32927,1.18433,2.0344,0.85656,1.1676,0.00141945,0.00141945,0.00141945
17,1779.81,1.18565,1.80299,0.88699,1.12323,0.7835,0.51872,0.61371,0.35063,0.77772,0.50897,0.58885,0.3098,1.21345,2.08182,0.85806,1.201,0.00140295,0.00140295,0.00140295
18,1883.7,1.19224,1.87732,0.92836,1.13409,0.78791,0.56399,0.65991,0.38586,0.78726,0.5626,0.65132,0.34229,1.19046,1.95987,0.87138,1.17011,0.00138644,0.00138644,0.00138644
19,1987.9,1.18751,1.78421,0.89141,1.11817,0.82289,0.53711,0.63628,0.36944,0.81795,0.53316,0.6264,0.32548,1.19354,1.99918,0.94499,1.17281,0.00136994,0.00136994,0.00136994
20,2091.73,1.15751,1.79214,0.84448,1.10673,0.74669,0.58631,0.66611,0.38747,0.74746,0.56566,0.64371,0.34021,1.16024,1.95629,0.84711,1.16183,0.00135344,0.00135344,0.00135344
21,2195.59,1.17329,1.80285,0.84689,1.1173,0.81054,0.5743,0.67029,0.38221,0.85115,0.53838,0.61535,0.31379,1.20019,2.08339,0.85544,1.17901,0.00133693,0.00133693,0.00133693
22,2299.43,1.13601,1.7421,0.8349,1.10187,0.74955,0.55598,0.62355,0.32134,0.74775,0.512,0.57782,0.27809,1.26016,2.08549,0.89629,1.2247,0.00132043,0.00132043,0.00132043
23,2403.03,1.1442,1.73996,0.81044,1.10128,0.85702,0.57936,0.67764,0.3909,0.85117,0.57512,0.66283,0.34026,1.1483,1.94598,0.81774,1.15873,0.00130393,0.00130393,0.00130393
24,2506.81,1.15061,1.76886,0.84239,1.09695,0.80688,0.6194,0.70128,0.39307,0.7958,0.61087,0.68292,0.35683,1.13678,1.92378,0.78569,1.14777,0.00128742,0.00128742,0.00128742
25,2610.72,1.09428,1.65513,0.78076,1.06961,0.81448,0.60357,0.71194,0.3991,0.82101,0.58006,0.68192,0.33935,1.18356,1.98766,0.7625,1.16324,0.00127092,0.00127092,0.00127092
26,2714.28,1.1339,1.74362,0.78621,1.10172,0.86118,0.59992,0.70373,0.38487,0.84876,0.59037,0.68269,0.34282,1.20248,1.98998,0.80299,1.20498,0.00125442,0.00125442,0.00125442
27,2818.06,1.09444,1.66204,0.77421,1.08923,0.77693,0.63469,0.71028,0.40714,0.74883,0.609,0.67133,0.36137,1.15714,1.96808,0.82375,1.17079,0.00123791,0.00123791,0.00123791
28,2921.91,1.0801,1.63649,0.74267,1.07375,0.88759,0.5457,0.66902,0.40538,0.89224,0.54697,0.66355,0.34681,1.15946,1.94326,0.82003,1.15621,0.00122141,0.00122141,0.00122141
29,3025.56,1.10636,1.65962,0.7616,1.07911,0.77491,0.64436,0.69829,0.40254,0.7565,0.61952,0.66377,0.34375,1.16197,1.90076,0.79364,1.16398,0.00120491,0.00120491,0.00120491
30,3129.18,1.09211,1.68837,0.73954,1.06986,0.79907,0.6236,0.71167,0.42223,0.79973,0.60663,0.68297,0.34744,1.116,1.99897,0.72906,1.1447,0.0011884,0.0011884,0.0011884
31,3233.22,1.09894,1.61268,0.74905,1.07863,0.79839,0.61086,0.6996,0.41203,0.80012,0.5949,0.67848,0.36769,1.12205,1.88104,0.76906,1.13966,0.0011719,0.0011719,0.0011719
32,3337.34,1.07467,1.57633,0.73818,1.06845,0.91997,0.58486,0.71701,0.39707,0.91083,0.57843,0.69045,0.34535,1.19606,1.91338,0.75355,1.17885,0.0011554,0.0011554,0.0011554
33,3441.23,1.09207,1.65115,0.72845,1.07461,0.84353,0.66221,0.73667,0.4375,0.80637,0.62679,0.68998,0.36376,1.12981,1.88301,0.71003,1.13716,0.00113889,0.00113889,0.00113889
34,3545.32,1.04921,1.54388,0.71691,1.06506,0.83861,0.63692,0.70904,0.41663,0.81507,0.61034,0.68231,0.34759,1.11169,1.88088,0.74262,1.13491,0.00112239,0.00112239,0.00112239
35,3649.12,1.05857,1.61915,0.72825,1.06604,0.78545,0.62426,0.68793,0.41643,0.79253,0.59991,0.68008,0.35556,1.0925,1.91118,0.73825,1.13914,0.00110589,0.00110589,0.00110589
36,3752.92,1.07945,1.65426,0.70458,1.06418,0.8127,0.66078,0.72947,0.42736,0.8091,0.64046,0.70124,0.37307,1.0816,1.85996,0.69945,1.12513,0.00108938,0.00108938,0.00108938
37,3856.54,1.06111,1.59345,0.68905,1.05022,0.87858,0.6567,0.74172,0.42586,0.84654,0.63114,0.70377,0.37312,1.1355,1.87049,0.73808,1.15373,0.00107288,0.00107288,0.00107288
38,3960.3,1.08482,1.62554,0.7154,1.06608,0.81566,0.65715,0.72333,0.43222,0.80146,0.64144,0.71317,0.37761,1.11284,1.87619,0.716,1.14157,0.00105638,0.00105638,0.00105638
39,4064.04,1.0437,1.54009,0.69744,1.06318,0.82252,0.61643,0.72454,0.42048,0.81652,0.59914,0.69995,0.36421,1.12162,1.93488,0.70721,1.12914,0.00103987,0.00103987,0.00103987
40,4167.76,1.04905,1.57921,0.6979,1.046,0.7867,0.66698,0.72507,0.41591,0.76115,0.63874,0.68353,0.34728,1.10313,1.87991,0.72889,1.13452,0.00102337,0.00102337,0.00102337
41,4271.83,1.04632,1.59285,0.68192,1.04237,0.83322,0.69128,0.77184,0.44528,0.82755,0.64019,0.72302,0.38187,1.11099,1.86527,0.66278,1.13604,0.00100687,0.00100687,0.00100687
42,4375.88,1.02718,1.50592,0.67829,1.05096,0.86667,0.68366,0.78284,0.45118,0.83256,0.65391,0.74144,0.37013,1.13188,1.93366,0.69791,1.14939,0.000990365,0.000990365,0.000990365
43,4479.7,1.03291,1.63496,0.66562,1.04494,0.79756,0.69171,0.73482,0.42502,0.77812,0.66954,0.71654,0.37025,1.08735,1.86887,0.687,1.13492,0.000973861,0.000973861,0.000973861
44,4583.38,1.01592,1.55045,0.65676,1.04378,0.82145,0.65083,0.71745,0.42891,0.86369,0.61551,0.69817,0.36643,1.07582,1.87731,0.68409,1.13259,0.000957358,0.000957358,0.000957358
45,4686.98,1.04011,1.54801,0.65882,1.04595,0.85264,0.67467,0.76329,0.44883,0.84155,0.66144,0.74816,0.37732,1.08117,1.87179,0.64826,1.12226,0.000940855,0.000940855,0.000940855
46,4790.87,1.0393,1.56321,0.66337,1.04201,0.82837,0.66719,0.74299,0.43317,0.85321,0.63493,0.71229,0.35851,1.09301,1.8826,0.699,1.12969,0.000924352,0.000924352,0.000924352
47,4894.47,1.02234,1.48642,0.62422,1.0472,0.8748,0.67913,0.77662,0.45926,0.85275,0.65973,0.74651,0.38894,1.06341,1.88417,0.63984,1.10319,0.000907848,0.000907848,0.000907848
48,4998.37,1.03026,1.54385,0.63302,1.03904,0.81084,0.68769,0.76421,0.43249,0.81878,0.66827,0.74776,0.38704,1.0683,1.8312,0.65988,1.11361,0.000891345,0.000891345,0.000891345
49,5102.19,1.03673,1.51816,0.65611,1.05448,0.90627,0.60891,0.75376,0.45155,0.88755,0.59453,0.72065,0.38186,1.0655,1.86509,0.67689,1.11539,0.000874842,0.000874842,0.000874842
50,5205.72,1.0281,1.48735,0.6328,1.05129,0.83363,0.69834,0.76384,0.44625,0.79128,0.68552,0.73837,0.38082,1.07312,1.89393,0.65521,1.11809,0.000858338,0.000858338,0.000858338
51,5309.47,1.00766,1.51638,0.61916,1.03524,0.90873,0.67107,0.78688,0.45085,0.87641,0.64416,0.74566,0.37331,1.11836,1.85885,0.636,1.15234,0.000841835,0.000841835,0.000841835
52,5413.15,1.01816,1.48068,0.62177,1.03491,0.83627,0.70366,0.78558,0.46253,0.81172,0.67566,0.74941,0.40123,1.06371,1.87071,0.65443,1.10544,0.000825332,0.000825332,0.000825332
53,5517.1,1.0117,1.49519,0.60618,1.03019,0.80442,0.72155,0.7724,0.46042,0.79665,0.70629,0.75336,0.39792,1.06513,1.84294,0.64907,1.11763,0.000808828,0.000808828,0.000808828
