epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3994,1.33532,1.72266,1.18174,0.08442,0.36879,0.0744,0.04385,1.41448,16.4308,1.43695,0.000550425,0.000550425,0.000550425
2,159.859,1.49442,1.30998,1.30827,9e-05,0.0156,5e-05,3e-05,1.49008,inf,1.55254,0.00109945,0.00109945,0.00109945
3,233.805,1.52893,1.36401,1.33356,0,0,0,0,nan,nan,nan,0.00164182,0.00164182,0.00164182
4,308.41,1.4932,1.33083,1.29542,0.48266,0.49732,0.32933,0.17223,1.39988,3.52711,1.3418,0.00163699,0.00163699,0.00163699
5,382.713,1.46643,1.25714,1.28193,0.81991,0.16312,0.26672,0.13776,nan,nan,nan,0.00162699,0.00162699,0.00162699
6,457.172,1.42808,1.18253,1.2453,0.7641,0.45786,0.51099,0.29506,1.29701,1.42959,1.2462,0.00161699,0.00161699,0.00161699
7,531.997,1.40612,1.13858,1.24281,0.56968,0.50869,0.52685,0.30458,1.29652,1.23602,1.25696,0.00160699,0.00160699,0.00160699
8,606.708,1.38565,1.08449,1.23857,0.75145,0.43996,0.50861,0.30023,1.24829,1.31217,1.22377,0.00159699,0.00159699,0.00159699
9,681.121,1.3483,1.05491,1.2127,0.73629,0.56988,0.5995,0.35011,1.20897,0.95817,1.18664,0.00158698,0.00158698,0.00158698
10,755.794,1.36083,1.0581,1.22858,0.81646,0.54174,0.59986,0.34848,1.20514,0.99136,1.19088,0.00157698,0.00157698,0.00157698
11,830.121,1.32337,1.03074,1.19809,0.67128,0.51789,0.57704,0.34966,1.16511,1.0433,1.17186,0.00156698,0.00156698,0.00156698
12,904.471,1.29478,0.99235,1.19004,0.75835,0.54484,0.59346,0.36176,1.13885,1.16549,1.13857,0.00155698,0.00155698,0.00155698
13,979.016,1.29473,0.98816,1.17097,0.74875,0.56091,0.60183,0.36851,1.11912,0.8847,1.13937,0.00154698,0.00154698,0.00154698
14,1053.69,1.26248,0.95629,1.17408,0.81497,0.51332,0.60064,0.37834,1.12349,0.94668,1.13214,0.00153697,0.00153697,0.00153697
15,1128.19,1.31625,0.9388,1.17517,0.7034,0.59624,0.60896,0.34698,1.19922,0.85633,1.17358,0.00152697,0.00152697,0.00152697
16,1202.61,1.23436,0.89108,1.15121,0.82267,0.58831,0.65037,0.38787,1.15067,0.8167,1.14659,0.00151697,0.00151697,0.00151697
17,1277.12,1.26902,0.90726,1.17067,0.7423,0.56879,0.6162,0.37609,1.13598,0.8114,1.13673,0.00150697,0.00150697,0.00150697
18,1351.63,1.24193,0.90697,1.15929,0.78742,0.57236,0.65503,0.38832,1.13231,0.84814,1.14372,0.00149697,0.00149697,0.00149697
19,1426.22,1.21763,0.86318,1.15474,0.83196,0.54497,0.61813,0.37787,1.11578,0.85789,1.13061,0.00148696,0.00148696,0.00148696
20,1500.61,1.24423,0.89588,1.15927,0.78154,0.59338,0.64491,0.39132,1.14011,0.78297,1.14098,0.00147696,0.00147696,0.00147696
21,1575.19,1.19752,0.8501,1.14227,0.7975,0.52118,0.61168,0.36593,1.13894,0.98426,1.14313,0.00146696,0.00146696,0.00146696
22,1649.48,1.2125,0.84555,1.136,0.7861,0.61502,0.65786,0.39433,1.14098,0.7594,1.14151,0.00145696,0.00145696,0.00145696
23,1723.93,1.23015,0.82797,1.14495,0.87092,0.5828,0.66171,0.3924,1.16575,0.80009,1.13966,0.00144696,0.00144696,0.00144696
24,1798.23,1.19104,0.77694,1.13352,0.80871,0.59163,0.64563,0.40381,1.07588,0.78094,1.11393,0.00143695,0.00143695,0.00143695
25,1872.82,1.16133,0.80876,1.12363,0.76535,0.59124,0.65458,0.39252,1.12305,0.85803,1.13553,0.00142695,0.00142695,0.00142695
26,1947.15,1.17607,0.80378,1.14317,0.78083,0.60109,0.6662,0.41434,1.08855,0.73042,1.09974,0.00141695,0.00141695,0.00141695
27,2021.63,1.17975,0.78243,1.13011,0.81357,0.60179,0.66777,0.39736,1.10981,0.73614,1.1177,0.00140695,0.00140695,0.00140695
28,2095.88,1.148,0.75551,1.11111,0.75332,0.56909,0.61405,0.36687,1.13679,0.76943,1.12401,0.00139695,0.00139695,0.00139695
29,2170.14,1.15668,0.77043,1.11146,0.76921,0.61523,0.65792,0.40081,1.10173,0.72786,1.12045,0.00138694,0.00138694,0.00138694
30,2244.39,1.13698,0.75314,1.10488,0.78048,0.61759,0.66982,0.41077,1.05637,0.74793,1.09273,0.00137694,0.00137694,0.00137694
31,2318.64,1.13099,0.74815,1.11118,0.80493,0.58573,0.66701,0.42137,1.05593,0.78076,1.09295,0.00136694,0.00136694,0.00136694
32,2393.13,1.15039,0.77973,1.11121,0.77548,0.61266,0.65382,0.39913,1.03584,0.72122,1.08455,0.00135694,0.00135694,0.00135694
33,2467.55,1.13544,0.73952,1.11963,0.81601,0.55766,0.66701,0.40724,1.06827,0.79603,1.11551,0.00134694,0.00134694,0.00134694
34,2541.78,1.11197,0.73102,1.09402,0.80477,0.60927,0.6551,0.40763,1.07441,0.72839,1.09694,0.00133693,0.00133693,0.00133693
35,2616.12,1.12745,0.72795,1.07812,0.79153,0.6318,0.68371,0.42071,1.07709,0.75698,1.11368,0.00132693,0.00132693,0.00132693
36,2690.56,1.13432,0.73127,1.10156,0.80357,0.65775,0.69061,0.43346,1.04507,0.71361,1.09753,0.00131693,0.00131693,0.00131693
37,2765.02,1.12224,0.70912,1.096,0.73762,0.63913,0.6779,0.42104,1.06871,0.69341,1.0902,0.00130693,0.00130693,0.00130693
38,2839.32,1.13542,0.71084,1.10256,0.77015,0.62471,0.67195,0.41039,1.04991,0.69912,1.10588,0.00129693,0.00129693,0.00129693
39,2913.42,1.09655,0.70069,1.10423,0.80258,0.61884,0.68161,0.41742,1.07493,0.71875,1.1041,0.00128692,0.00128692,0.00128692
40,2987.75,1.12192,0.72342,1.0955,0.76746,0.59414,0.66345,0.39896,1.06459,0.72256,1.09395,0.00127692,0.00127692,0.00127692
41,3062.12,1.10029,0.70023,1.08602,0.81643,0.58313,0.67565,0.42181,1.04414,0.6754,1.09189,0.00126692,0.00126692,0.00126692
42,3136.66,1.11397,0.67594,1.07672,0.83786,0.64385,0.70733,0.43665,1.08656,0.65876,1.09213,0.00125692,0.00125692,0.00125692
43,3211.4,1.11238,0.67188,1.09471,0.82487,0.62532,0.68675,0.42585,1.05678,0.71758,1.09757,0.00124692,0.00124692,0.00124692
44,3285.9,1.08779,0.65967,1.08023,0.86315,0.57698,0.65399,0.41416,1.02924,0.71053,1.08117,0.00123691,0.00123691,0.00123691
45,3360.35,1.09954,0.69292,1.09206,0.88902,0.58274,0.68107,0.41362,1.0554,0.71335,1.10908,0.00122691,0.00122691,0.00122691
46,3434.86,1.13053,0.68306,1.08315,0.81578,0.59703,0.67328,0.42104,1.04855,0.67114,1.08846,0.00121691,0.00121691,0.00121691
47,3509.28,1.12367,0.67158,1.09001,0.77623,0.62212,0.686,0.4154,1.05277,0.68795,1.09719,0.00120691,0.00120691,0.00120691
48,3583.56,1.08503,0.65166,1.07918,0.85378,0.6032,0.68003,0.4208,1.07355,0.67888,1.09487,0.00119691,0.00119691,0.00119691
49,3657.97,1.11892,0.70035,1.10727,0.82172,0.61904,0.70292,0.42361,1.03937,0.67656,1.08841,0.0011869,0.0011869,0.0011869
50,3732.36,1.04661,0.65999,1.06423,0.83678,0.62495,0.68692,0.42478,1.04531,0.68203,1.08327,0.0011769,0.0011769,0.0011769
51,3806.61,1.08137,0.66203,1.08418,0.85451,0.6304,0.68824,0.41927,1.06631,0.62715,1.10255,0.0011669,0.0011669,0.0011669
52,3881.05,1.01476,0.60731,1.05899,0.8431,0.61006,0.69577,0.43683,1.0403,0.68328,1.07793,0.0011569,0.0011569,0.0011569
53,3955.54,1.08338,0.64133,1.08129,0.88517,0.59167,0.67864,0.4189,1.03544,0.70976,1.07779,0.0011469,0.0011469,0.0011469
54,4030.02,1.04353,0.6391,1.07679,0.91819,0.61833,0.70049,0.43519,1.04504,0.64207,1.07986,0.00113689,0.00113689,0.00113689
55,4104.65,1.10097,0.65055,1.08504,0.86409,0.62259,0.69997,0.43359,1.0045,0.67397,1.06664,0.00112689,0.00112689,0.00112689
56,4179.21,1.05143,0.61894,1.06215,0.81603,0.656,0.71868,0.43525,1.04555,0.64159,1.07472,0.00111689,0.00111689,0.00111689
