epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4948,1.23726,2.01426,1.82723,1.11558,0.39931,0.41205,0.31086,0.18925,0.40123,0.42082,0.30927,0.17633,1.44528,3.29918,15.6506,1.3052,0.000413943,0.000413943,0.000413943
2,163.142,1.36932,2.09346,1.3973,1.18288,0.50911,0.36517,0.36967,0.21116,0.53809,0.35834,0.36774,0.20023,1.40167,2.47639,3.96191,1.29455,0.000814164,0.000814164,0.000814164
3,240.151,1.40551,2.15667,1.45297,1.22009,0.51756,0.38034,0.36519,0.19758,0.52554,0.38418,0.36016,0.17714,nan,nan,nan,nan,0.00119788,0.00119788,0.00119788
4,306.646,1.37825,2.14289,1.35882,1.21603,0.28887,0.4716,0.20506,0.09242,0.28363,0.46449,0.19968,0.08508,1.49906,2.47565,3.48448,1.3534,0.00117575,0.00117575,0.00117575
5,381.241,1.30148,1.98021,1.23305,1.18339,0.58345,0.55167,0.5322,0.28795,0.58306,0.53855,0.52523,0.267,1.29379,2.10943,1.28463,1.21767,0.001151,0.001151,0.001151
6,448.99,1.29404,1.96228,1.22137,1.17201,0.5883,0.47408,0.50962,0.28713,0.57256,0.50417,0.51742,0.25975,1.23223,1.99242,1.62696,1.17227,0.00112625,0.00112625,0.00112625
7,521.543,1.23794,1.88497,1.13802,1.13821,0.65484,0.59453,0.6129,0.34726,0.66428,0.59645,0.61219,0.30922,1.22971,1.9442,1.15014,1.16288,0.0011015,0.0011015,0.0011015
8,595.883,1.24138,1.87185,1.10731,1.14496,0.72128,0.52724,0.59609,0.3404,0.74047,0.52768,0.60223,0.30708,1.17949,1.93508,1.25929,1.12755,0.00107675,0.00107675,0.00107675
9,663.533,1.19976,1.79342,1.05035,1.1329,0.72024,0.53307,0.5815,0.33771,0.68467,0.53044,0.57334,0.29828,1.164,1.85538,1.08224,1.13698,0.001052,0.001052,0.001052
10,737.448,1.18033,1.77036,1.05167,1.122,0.65441,0.61526,0.63096,0.36003,0.68643,0.5967,0.63872,0.32651,1.16277,1.80364,1.07259,1.11901,0.00102725,0.00102725,0.00102725
