epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.955,1.34337,2.44847,2.18505,1.14133,0.00567,0.17627,0.0025,0.00107,0.00123,0.03421,0.00052,0.00015,2.95621,nan,inf,4.91493,0.000545377,0.000545377,0.000545377
1,224.711,1.32246,2.30054,1.82237,1.11709,0.00253,0.15732,0.00147,0.0007,0.00167,0.10462,0.00084,0.00037,2.61715,739.383,inf,13.8034,0.000550474,0.000550474,0.000550474
2,428.876,1.48797,2.52446,1.40699,1.19611,0.46715,0.21879,0.25576,0.14724,0.56024,0.21461,0.23766,0.12078,1.46059,3.22794,5.29743,1.3778,0.00109154,0.00109154,0.00109154
3,687.499,1.51885,2.57106,1.4269,1.23086,0.17185,0.242,0.12092,0.06905,0.16566,0.23119,0.11207,0.05415,1.56946,3.62919,5.63639,1.4771,0.00161794,0.00161794,0.00161794
4,979.457,1.4528,2.51986,1.32528,1.22382,0.78114,0.17032,0.21872,0.12177,0.7755,0.16677,0.21509,0.10267,nan,nan,nan,nan,0.00160099,0.00160099,0.00160099
5,1240.81,1.3956,2.31602,1.24071,1.16803,0.54408,0.41107,0.40317,0.22105,0.55636,0.38747,0.39305,0.20119,1.35131,2.45854,1.85789,1.21757,0.00157898,0.00157898,0.00157898
6,1569.36,1.39617,2.28896,1.20086,1.18304,0.6118,0.40771,0.41193,0.2164,0.61087,0.40274,0.39818,0.1982,1.35755,2.59082,1.30374,1.23736,0.00155698,0.00155698,0.00155698
7,1849.65,1.36172,2.29795,1.15575,1.14112,0.70488,0.44825,0.50216,0.28096,0.72688,0.45586,0.50391,0.26115,nan,nan,nan,nan,0.00153497,0.00153497,0.00153497
8,2191.29,1.31577,2.16322,1.08474,1.12674,0.75619,0.47761,0.56452,0.31286,0.68242,0.50661,0.55733,0.28024,1.2422,2.28789,0.97237,1.16138,0.00151297,0.00151297,0.00151297
9,2474.56,1.31351,2.17667,1.04125,1.13329,0.61586,0.46485,0.52495,0.27934,0.68606,0.41495,0.5107,0.25014,1.27835,2.27466,1.16009,1.155,0.00149096,0.00149096,0.00149096
10,2796.95,1.27547,2.12344,1.01246,1.10016,0.73793,0.47589,0.56,0.31081,0.72391,0.46922,0.53677,0.27541,1.26606,2.22706,1.05572,1.15128,0.00146896,0.00146896,0.00146896
11,3101.31,1.29083,2.09209,1.02696,1.13021,0.70023,0.49304,0.56042,0.31459,0.67394,0.49499,0.53629,0.27563,1.20163,2.15525,0.92642,1.12066,0.00144696,0.00144696,0.00144696
12,3437.09,1.25712,2.08152,0.97929,1.10076,0.65523,0.46448,0.54284,0.29754,0.64222,0.45528,0.52811,0.26565,1.21325,2.23052,1.18077,1.14376,0.00142495,0.00142495,0.00142495
13,3754.79,1.23269,2.09501,0.96085,1.10235,0.72514,0.49789,0.56474,0.31227,0.71797,0.4874,0.5511,0.26914,1.21796,2.12172,0.96388,1.13508,0.00140295,0.00140295,0.00140295
