epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4798,1.34484,2.37742,2.17237,1.13617,0.00118,0.02154,0.00057,0.00037,0.00092,0.01927,0.00047,0.00025,nan,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,128.069,1.44408,2.52825,1.40436,1.19495,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00109358,0.00109358,0.00109358
3,193.084,1.43334,2.4197,1.35645,1.20531,0.06519,0.2216,0.02631,0.01,0.07056,0.19047,0.02915,0.00703,2.39153,5.26187,26.0503,1.96059,0.00163465,0.00163465,0.00163465
4,258.49,1.42492,2.36667,1.27445,1.1964,0.03196,0.31241,0.01559,0.00688,0.03032,0.27217,0.01422,0.00513,1.7394,11.2035,69.6764,2.56049,0.00163399,0.00163399,0.00163399
5,323.538,1.41735,2.31393,1.22509,1.20106,0.57048,0.38048,0.36202,0.19458,0.63084,0.35148,0.34914,0.1703,1.43569,2.76882,4.57709,1.30683,0.00162299,0.00162299,0.00162299
6,388.669,1.37666,2.21026,1.18482,1.18039,0.57687,0.45205,0.43347,0.22098,0.58881,0.44456,0.42471,0.19161,1.39508,2.84971,3.11263,1.28199,0.00161199,0.00161199,0.00161199
7,453.775,1.31177,2.12986,1.12196,1.13904,0.74541,0.50148,0.53835,0.28738,0.74598,0.50059,0.5337,0.2474,1.30582,2.5588,2.08582,1.21577,0.00160099,0.00160099,0.00160099
8,518.52,1.3143,2.11442,1.0413,1.14748,0.70272,0.44054,0.49368,0.28016,0.70756,0.43097,0.47756,0.24199,1.30586,2.5791,1.35979,1.23937,0.00158998,0.00158998,0.00158998
9,582.975,1.25607,2.06111,1.01315,1.12304,0.76083,0.50106,0.54898,0.30074,0.76435,0.50927,0.55163,0.26891,1.28462,2.40192,1.32621,1.20071,0.00157898,0.00157898,0.00157898
10,647.837,1.28104,2.05485,1.017,1.13012,0.78612,0.52241,0.56937,0.31608,0.75758,0.52865,0.5582,0.27155,1.29988,2.55685,1.48917,1.1818,0.00156798,0.00156798,0.00156798
11,712.552,1.23971,1.99089,0.97984,1.11792,0.79655,0.56505,0.61642,0.34724,0.79485,0.56392,0.60913,0.30491,1.2064,2.30084,1.04869,1.14987,0.00155698,0.00155698,0.00155698
12,777.454,1.29522,2.01883,1.00024,1.12169,0.60277,0.46819,0.46947,0.25909,0.58207,0.4431,0.43567,0.21672,1.29774,2.46232,1.342,1.17496,0.00154598,0.00154598,0.00154598
13,842.021,1.24194,2.03193,0.92742,1.10324,0.65809,0.58442,0.57361,0.34128,0.6517,0.55581,0.56326,0.29863,1.20857,2.23596,1.09116,1.13956,0.00153497,0.00153497,0.00153497
14,906.734,1.24124,1.99794,0.92884,1.10332,0.6949,0.4776,0.56779,0.32421,0.64288,0.50068,0.55631,0.27493,1.2493,2.28157,1.11788,1.14513,0.00152397,0.00152397,0.00152397
15,971.014,1.18492,1.86281,0.87171,1.07905,0.78199,0.49847,0.57064,0.32136,0.81107,0.51926,0.57166,0.29103,1.19773,2.23772,1.05987,1.12763,0.00151297,0.00151297,0.00151297
16,1035.71,1.2012,1.91391,0.89357,1.09509,0.73665,0.45803,0.52231,0.29354,0.6124,0.48644,0.50466,0.24661,1.18976,2.29935,1.25732,1.1183,0.00150197,0.00150197,0.00150197
17,1100.14,1.20666,1.90522,0.87598,1.09031,0.65966,0.56769,0.61048,0.35383,0.67187,0.57556,0.62124,0.30487,1.21446,2.1607,1.23652,1.14283,0.00149096,0.00149096,0.00149096
18,1164.99,1.19765,1.93087,0.87027,1.07961,0.81431,0.55824,0.64376,0.36916,0.80751,0.55314,0.62371,0.32917,1.20586,2.15568,0.9392,1.10324,0.00147996,0.00147996,0.00147996
19,1229.39,1.15035,1.80495,0.84005,1.06837,0.84123,0.56942,0.6508,0.3826,0.83727,0.56489,0.61016,0.32737,1.1744,2.07902,0.96793,1.1087,0.00146896,0.00146896,0.00146896
