epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8208,1.33668,2.42003,2.14239,1.12505,0.01031,0.02703,0.00139,0.00069,0.01065,0.01981,0.0011,0.0005,nan,nan,nan,nan,0.000545182,0.000545182,0.000545182
2,152.319,1.43133,2.54539,1.39178,1.21027,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00108995,0.00108995,0.00108995
3,226.601,1.45919,2.50884,1.36653,1.21717,0.00404,0.04062,0.00158,0.0007,0.00417,0.03943,0.00145,0.00052,nan,nan,nan,nan,0.00162372,0.00162372,0.00162372
4,300.266,1.39863,2.38382,1.26717,1.19316,0.48023,0.30118,0.28417,0.14575,0.43384,0.29337,0.25714,0.12544,nan,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,374.622,1.41796,2.37705,1.30506,1.18452,0.81063,0.22043,0.28845,0.16519,0.81067,0.21858,0.27445,0.14776,nan,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,447.883,1.39,2.30476,1.18433,1.17172,0.60738,0.43499,0.46155,0.25168,0.61616,0.43748,0.46397,0.22941,1.41209,2.5918,2.85281,1.30712,0.00158448,0.00158448,0.00158448
7,521.729,1.34087,2.13782,1.13178,1.17953,0.38138,0.28271,0.27735,0.18606,0.38681,0.25269,0.2702,0.1633,1.44226,2.84339,7.44882,1.28756,0.00156798,0.00156798,0.00156798
8,594.449,1.29872,2.12935,1.08285,1.15509,0.55256,0.40625,0.43023,0.245,0.52604,0.37092,0.38819,0.21079,1.34947,2.68921,1.48828,1.20412,0.00155148,0.00155148,0.00155148
9,668.43,1.26216,2.07731,1.03862,1.11916,0.73593,0.53081,0.56461,0.30182,0.71896,0.53512,0.54306,0.25727,1.35175,2.36963,1.84766,1.20984,0.00153497,0.00153497,0.00153497
10,741.639,1.29194,2.15222,1.03709,1.14347,0.62384,0.52008,0.55472,0.31759,0.57751,0.52138,0.52545,0.27667,1.25596,2.31554,1.78735,1.14436,0.00151847,0.00151847,0.00151847
11,815.539,1.28637,2.09215,1.03143,1.1174,0.64116,0.55051,0.61391,0.34522,0.60725,0.5293,0.56755,0.29236,1.27318,2.21805,1.1654,1.16438,0.00150197,0.00150197,0.00150197
12,888.548,1.19932,1.92932,0.94624,1.10062,0.76754,0.44612,0.51853,0.29425,0.74424,0.43659,0.49172,0.2588,1.32896,2.21049,1.23997,1.19818,0.00148546,0.00148546,0.00148546
13,962.295,1.23718,2.01202,0.96882,1.09714,0.71611,0.5752,0.63552,0.36487,0.71165,0.56956,0.62287,0.3224,1.24171,2.18345,1.13026,1.13291,0.00146896,0.00146896,0.00146896
14,1035.42,1.21757,1.91052,0.93425,1.10454,0.74447,0.57478,0.6338,0.34515,0.73872,0.56881,0.61639,0.30765,1.27678,2.2603,1.24345,1.16099,0.00145246,0.00145246,0.00145246
15,1109.07,1.20993,1.99167,0.95374,1.09937,0.84303,0.58032,0.67735,0.3739,0.82616,0.56985,0.65838,0.3098,1.16796,2.12649,0.97336,1.10774,0.00143595,0.00143595,0.00143595
16,1181.82,1.1641,1.82584,0.84188,1.07985,0.74714,0.56806,0.6342,0.34869,0.73642,0.55791,0.59601,0.30275,1.20161,2.13483,0.99582,1.12608,0.00141945,0.00141945,0.00141945
17,1255.42,1.13198,1.78943,0.81939,1.07131,0.87487,0.59631,0.67207,0.36983,0.84622,0.57709,0.63408,0.32176,1.225,43.6664,0.9765,1.15309,0.00140295,0.00140295,0.00140295
18,1328.3,1.18097,1.86924,0.83699,1.08199,0.73874,0.58455,0.65614,0.39245,0.72882,0.56998,0.62767,0.33092,1.159,2.08735,1.12259,1.09981,0.00138644,0.00138644,0.00138644
19,1402.09,1.18204,1.88567,0.84083,1.08691,0.77749,0.58658,0.67294,0.37757,0.74259,0.56313,0.62259,0.33654,1.18986,2.00843,0.97056,1.09465,0.00136994,0.00136994,0.00136994
20,1475.01,1.17076,1.95348,0.84616,1.06001,0.76124,0.56902,0.65851,0.38499,0.79343,0.53367,0.63397,0.31646,1.15756,2.13607,0.98743,1.09335,0.00135344,0.00135344,0.00135344
21,1548.6,1.14788,1.8359,0.8283,1.05455,0.80387,0.58107,0.6511,0.38462,0.82781,0.59675,0.66062,0.33199,1.21021,2.05963,0.9846,1.10775,0.00133693,0.00133693,0.00133693
22,1621.23,1.11347,1.78344,0.80063,1.06686,0.80254,0.57601,0.6609,0.39779,0.8069,0.57786,0.65499,0.35283,1.16215,2.09816,0.9464,1.10142,0.00132043,0.00132043,0.00132043
23,1695.01,1.12024,1.78516,0.79437,1.05531,0.74637,0.63454,0.69003,0.39268,0.71795,0.61169,0.651,0.34281,1.14228,2.06539,0.89273,1.0956,0.00130393,0.00130393,0.00130393
24,1767.68,1.12783,1.7617,0.79708,1.05221,0.83797,0.57515,0.67413,0.37497,0.83442,0.57276,0.65386,0.33066,1.19466,2.12437,0.91916,1.11123,0.00128742,0.00128742,0.00128742
25,1840.93,1.11798,1.81275,0.79326,1.04446,0.74806,0.61589,0.66339,0.38649,0.74307,0.61005,0.65846,0.33982,1.16566,2.09728,0.99376,1.09517,0.00127092,0.00127092,0.00127092
26,1913.54,1.12547,1.81171,0.78155,1.05149,0.72557,0.62487,0.67986,0.40312,0.72932,0.6245,0.6585,0.34308,1.1551,2.05635,0.95441,1.10576,0.00125442,0.00125442,0.00125442
27,1986.84,1.07903,1.69054,0.7434,1.04443,0.88411,0.59163,0.66397,0.40363,0.87864,0.58744,0.64631,0.348,1.11945,2.05338,0.96633,1.07051,0.00123791,0.00123791,0.00123791
28,2059.7,1.0953,1.76152,0.72634,1.03509,0.76795,0.64092,0.68784,0.40332,0.76809,0.63324,0.67027,0.34386,1.12229,1.9866,0.89882,1.08266,0.00122141,0.00122141,0.00122141
29,2133.67,1.07362,1.68747,0.72355,1.04317,0.81565,0.64972,0.70336,0.40937,0.80595,0.63469,0.68801,0.35643,1.13572,2.00164,0.87472,1.08497,0.00120491,0.00120491,0.00120491
30,2206.6,1.08881,1.66978,0.73207,1.02791,0.77438,0.62393,0.70486,0.40438,0.77151,0.61258,0.68347,0.34384,1.1527,1.98632,0.87406,1.08532,0.0011884,0.0011884,0.0011884
31,2279.96,1.07814,1.64194,0.72712,1.03666,0.74022,0.62386,0.68118,0.39146,0.81912,0.58157,0.65165,0.34859,1.16937,2.04933,0.92301,1.08846,0.0011719,0.0011719,0.0011719
32,2352.5,1.06974,1.69111,0.71041,1.04072,0.79848,0.64699,0.69069,0.40625,0.77996,0.61874,0.674,0.35723,1.14598,1.9634,0.8851,1.07561,0.0011554,0.0011554,0.0011554
