epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8004,1.36375,1.76394,1.17019,0.08834,0.0916,0.02215,0.01433,2.84938,46.905,3.43096,0.000550425,0.000550425,0.000550425
2,127.498,1.46401,1.27169,1.29061,0.001,0.25866,0.0006,0.00028,nan,nan,nan,0.00109614,0.00109614,0.00109614
3,187.091,1.49258,1.37989,1.30529,0.28154,0.27775,0.23088,0.14575,1.47952,9.71037,1.37355,0.00163185,0.00163185,0.00163185
4,246.59,1.4857,1.25973,1.29546,0.27063,0.16096,0.10973,0.04474,2.55313,3.14985,2.64195,0.00162199,0.00162199,0.00162199
5,305.776,1.39549,1.16916,1.25074,0.66025,0.3535,0.40155,0.22518,1.39604,2.28653,1.3518,0.00160699,0.00160699,0.00160699
6,365.228,1.40165,1.13573,1.24123,0.56925,0.51975,0.4831,0.25865,1.35486,1.48493,1.31604,0.00159198,0.00159198,0.00159198
7,424.559,1.36006,1.11034,1.24112,0.66386,0.43799,0.49805,0.28944,1.26616,1.18829,1.25092,0.00157698,0.00157698,0.00157698
8,483.917,1.36901,1.06246,1.23928,0.59343,0.51971,0.56116,0.29212,1.3164,1.07108,1.27256,0.00156198,0.00156198,0.00156198
9,543.3,1.34381,1.04226,1.20277,0.64073,0.45581,0.50215,0.29127,1.31812,1.07334,1.25879,0.00154698,0.00154698,0.00154698
10,602.575,1.31675,1.01306,1.20878,0.68665,0.512,0.57916,0.31596,1.31022,1.26164,1.25864,0.00153197,0.00153197,0.00153197
11,661.967,1.2988,0.96714,1.18741,0.784,0.5152,0.58835,0.32973,1.23925,1.10462,1.22783,0.00151697,0.00151697,0.00151697
12,721.4,1.32191,1.01325,1.20488,0.70977,0.50164,0.56578,0.32037,1.25073,0.94684,1.20234,0.00150197,0.00150197,0.00150197
13,780.57,1.2805,0.93996,1.15934,0.76875,0.54702,0.62328,0.33694,1.28107,0.89265,1.22965,0.00148696,0.00148696,0.00148696
14,839.93,1.23507,0.89512,1.16867,0.81941,0.55395,0.65112,0.36376,1.18268,0.93173,1.17352,0.00147196,0.00147196,0.00147196
15,899.346,1.22927,0.93159,1.15174,0.69854,0.52108,0.60324,0.32456,1.30105,1.17639,1.24119,0.00145696,0.00145696,0.00145696
16,958.513,1.19842,0.86407,1.1372,0.70201,0.45084,0.52263,0.30227,1.24232,0.91708,1.20946,0.00144195,0.00144195,0.00144195
17,1017.7,1.22815,0.83855,1.14802,0.56815,0.46639,0.4851,0.28613,1.24904,0.90001,1.22379,0.00142695,0.00142695,0.00142695
18,1076.86,1.20806,0.86205,1.14824,0.65989,0.5934,0.61222,0.35312,1.19389,0.91193,1.19487,0.00141195,0.00141195,0.00141195
19,1136.07,1.21994,0.88841,1.14435,0.7583,0.56683,0.63372,0.35834,1.14429,0.82777,1.16031,0.00139695,0.00139695,0.00139695
20,1195.3,1.19893,0.85045,1.12625,0.74975,0.58207,0.6564,0.36626,1.20488,0.96784,1.18676,0.00138194,0.00138194,0.00138194
21,1254.65,1.18405,0.81258,1.1184,0.89588,0.56489,0.68331,0.37215,1.18145,0.79826,1.17777,0.00136694,0.00136694,0.00136694
22,1313.92,1.16247,0.80211,1.12073,0.86004,0.60073,0.70205,0.40117,1.12387,0.79895,1.14182,0.00135194,0.00135194,0.00135194
23,1373.19,1.17935,0.77373,1.12127,0.8376,0.54747,0.64774,0.36392,1.20752,0.83677,1.19237,0.00133693,0.00133693,0.00133693
24,1432.26,1.14482,0.76454,1.10363,0.68223,0.6193,0.66511,0.39048,1.16819,0.80878,1.17376,0.00132193,0.00132193,0.00132193
25,1491.3,1.15015,0.78996,1.10607,0.79216,0.65549,0.71665,0.41288,1.1319,0.73837,1.1545,0.00130693,0.00130693,0.00130693
26,1550.62,1.14585,0.75873,1.10563,0.78803,0.65217,0.712,0.40053,1.15968,0.731,1.15421,0.00129193,0.00129193,0.00129193
27,1609.77,1.13355,0.76347,1.11449,0.7942,0.61667,0.68951,0.39867,1.13435,0.72038,1.15557,0.00127692,0.00127692,0.00127692
28,1668.94,1.13757,0.74852,1.09505,0.80842,0.5657,0.6496,0.36936,1.18372,0.81274,1.1661,0.00126192,0.00126192,0.00126192
29,1728.02,1.13313,0.74447,1.10982,0.74793,0.54562,0.63423,0.35522,1.17186,0.76408,1.17882,0.00124692,0.00124692,0.00124692
30,1787.06,1.15419,0.77777,1.1092,0.84859,0.59253,0.6893,0.40058,1.11951,0.74622,1.15919,0.00123191,0.00123191,0.00123191
31,1846.12,1.14995,0.7361,1.11075,0.81058,0.60289,0.69365,0.3963,1.14158,0.76204,1.15501,0.00121691,0.00121691,0.00121691
32,1905.22,1.10111,0.72006,1.08899,0.77898,0.62137,0.70142,0.39119,1.12972,0.70545,1.14674,0.00120191,0.00120191,0.00120191
33,1964.4,1.11982,0.70279,1.10288,0.83752,0.67439,0.75995,0.43598,1.10418,0.67725,1.12105,0.0011869,0.0011869,0.0011869
34,2023.7,1.09935,0.7111,1.0963,0.9017,0.51469,0.62922,0.37305,1.10989,0.77396,1.13413,0.0011719,0.0011719,0.0011719
35,2082.79,1.147,0.73917,1.09954,0.78843,0.65667,0.72834,0.40644,1.17687,0.72537,1.17433,0.0011569,0.0011569,0.0011569
36,2141.83,1.09579,0.68208,1.07337,0.79505,0.62877,0.71709,0.41778,1.13413,0.69765,1.15372,0.0011419,0.0011419,0.0011419
37,2200.92,1.08698,0.67705,1.09216,0.845,0.6374,0.73873,0.42382,1.09295,0.67641,1.12835,0.00112689,0.00112689,0.00112689
