epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2571,0.00812,0.01492,5.25172,1.08041,0.01462,0.33953,0.00801,0.00449,0.01459,0.33104,0.0079,0.00373,nan,nan,nan,nan,0.000327109,0.000327109,0.000327109
2,181.202,0.00924,0.01623,3.91737,1.17648,0.00095,0.1613,0.00056,0.0002,0.00061,0.06644,0.00033,0.00011,0.02388,nan,inf,15.136,0.000651791,0.000651791,0.000651791
3,269.38,0.01019,0.01766,3.99584,1.26237,0,0,0,0,0,0.00057,0,0,0.03534,nan,inf,504.671,0.00096767,0.00096767,0.00096767
4,355.728,0.00944,0.01656,3.46507,1.20437,0.00316,0.17116,0.00173,0.00066,0.00194,0.13773,0.00093,0.00024,0.02042,0.34537,inf,5.82194,0.00127475,0.00127475,0.00127475
5,441.938,0.00995,0.01724,3.69161,1.2188,0.1348,0.40303,0.08815,0.03003,0.13764,0.39795,0.08765,0.03087,0.0103,0.02341,103.308,1.50671,0.00157302,0.00157302,0.00157302
6,528.253,0.00979,0.01699,3.62994,1.20602,0.59206,0.43899,0.45828,0.23119,0.56784,0.4265,0.43054,0.19407,0.00953,0.02089,12.5188,1.35096,0.00155698,0.00155698,0.00155698
7,614.908,0.00952,0.01712,3.4145,1.1892,0.63002,0.41672,0.46586,0.24829,0.60578,0.40141,0.4367,0.19005,0.00898,0.02389,4.39434,1.31557,0.00153497,0.00153497,0.00153497
8,701.412,0.00947,0.01681,3.29277,1.1761,0.58322,0.53873,0.55008,0.2998,0.5669,0.52795,0.53164,0.25812,0.00882,0.01806,4.16899,1.25205,0.00151297,0.00151297,0.00151297
9,787.976,0.00933,0.01633,3.28052,1.16879,0.64467,0.37173,0.41034,0.24995,0.64171,0.3689,0.40252,0.20636,0.00805,0.01726,3.64784,1.1926,0.00149096,0.00149096,0.00149096
10,874.259,0.00937,0.01651,3.13297,1.1678,0.68398,0.50476,0.53306,0.27577,0.69383,0.51297,0.54319,0.25838,0.00889,0.0173,3.97475,1.23745,0.00146896,0.00146896,0.00146896
