epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2857,0.00822,0.01456,5.97255,1.0774,0.00306,0.2431,0.00198,0.00119,0.00272,0.21125,0.0016,0.00077,0.01186,0.08152,inf,1.56063,0.000331427,0.000331427,0.000331427
2,172.519,0.01002,0.01692,5.47758,1.19533,0.00028,0.0452,0.00015,9e-05,0.0002,0.03203,0.00011,6e-05,0.0205,0.16537,inf,5.46469,0.000651664,0.000651664,0.000651664
3,254.301,0.01093,0.01884,6.04185,1.28471,0.26604,0.29512,0.18331,0.08957,0.23912,0.2714,0.1534,0.07425,0.01128,0.03308,13.6957,1.55496,0.000958697,0.000958697,0.000958697
4,336.312,0.01087,0.01821,5.76435,1.26913,0.77705,0.39205,0.47347,0.27351,0.76984,0.38493,0.45461,0.21755,0.00912,0.01798,11.9554,1.28114,0.00125253,0.00125253,0.00125253
5,418.075,0.01069,0.01882,5.58576,1.26174,0.69611,0.36195,0.41704,0.25513,0.69219,0.35413,0.39848,0.20346,0.00934,0.01944,4.55333,1.29281,0.00153316,0.00153316,0.00153316
6,499.217,0.01065,0.01792,5.38075,1.2523,0.62494,0.36299,0.376,0.22728,0.63986,0.35128,0.35568,0.18921,0.00882,0.01677,5.45983,1.27052,0.00150197,0.00150197,0.00150197
7,580.392,0.01022,0.01763,5.17523,1.24243,0.63994,0.40698,0.46937,0.27301,0.60907,0.3947,0.42626,0.21191,0.00923,0.01653,6.10601,1.27058,0.00146896,0.00146896,0.00146896
8,661.638,0.0104,0.01744,4.94688,1.22876,0.51482,0.49057,0.46625,0.27085,0.64038,0.39731,0.42689,0.21303,0.00897,0.01638,5.23726,1.24108,0.00143595,0.00143595,0.00143595
9,742.782,0.00987,0.01742,4.77475,1.20387,0.79774,0.50136,0.54667,0.32895,0.78393,0.48979,0.52924,0.24826,0.00854,0.01637,4.07865,1.22012,0.00140295,0.00140295,0.00140295
10,824.501,0.00993,0.01699,4.61897,1.1853,0.68732,0.3851,0.44742,0.27206,0.69291,0.37708,0.42733,0.22646,0.00846,0.0155,5.60322,1.20883,0.00136994,0.00136994,0.00136994
11,905.546,0.00976,0.01648,4.50832,1.18004,0.71511,0.52678,0.56711,0.32603,0.73827,0.51563,0.56791,0.28011,0.00832,0.01469,4.45395,1.17782,0.00133693,0.00133693,0.00133693
12,987.173,0.00946,0.01624,4.40568,1.16427,0.68002,0.52716,0.55915,0.32694,0.68517,0.51559,0.54916,0.27589,0.00851,0.01573,3.77862,1.20552,0.00130393,0.00130393,0.00130393
13,1068.27,0.00963,0.01669,4.30603,1.16658,0.81968,0.47924,0.57095,0.33686,0.78942,0.44402,0.5257,0.28097,0.00811,0.01468,4.56317,1.18005,0.00127092,0.00127092,0.00127092
14,1149.93,0.00953,0.0161,4.38611,1.16159,0.63542,0.5779,0.60668,0.34758,0.6222,0.56277,0.58792,0.28616,0.00828,0.0145,3.37593,1.17593,0.00123791,0.00123791,0.00123791
15,1231.44,0.00892,0.01505,4.08077,1.14103,0.73267,0.56311,0.59864,0.36249,0.72425,0.55329,0.58216,0.30555,0.00776,0.01341,3.81146,1.15739,0.00120491,0.00120491,0.00120491
16,1312.86,0.00897,0.01523,3.96046,1.12,0.67841,0.59445,0.61868,0.37671,0.65939,0.5925,0.61437,0.31608,0.00778,0.01372,3.40679,1.14024,0.0011719,0.0011719,0.0011719
17,1394.46,0.00895,0.01545,3.98291,1.13197,0.75476,0.53033,0.59583,0.34765,0.73382,0.54283,0.58654,0.29551,0.00809,0.01375,3.41956,1.1707,0.00113889,0.00113889,0.00113889
18,1475.34,0.0086,0.01438,3.77273,1.11775,0.71347,0.52841,0.5884,0.35006,0.74896,0.55904,0.60586,0.30113,0.00781,0.01345,3.40204,1.17152,0.00110589,0.00110589,0.00110589
19,1556.79,0.0087,0.01474,3.92132,1.1398,0.74334,0.58563,0.61443,0.36979,0.75968,0.59107,0.62706,0.31758,0.00795,0.01351,3.15113,1.1789,0.00107288,0.00107288,0.00107288
20,1638.11,0.00874,0.01489,3.69897,1.12319,0.78722,0.585,0.61149,0.37158,0.77574,0.56564,0.59452,0.31367,0.00772,0.01365,3.23529,1.1473,0.00103987,0.00103987,0.00103987
21,1719.2,0.00876,0.01497,3.69967,1.11947,0.62298,0.55909,0.55549,0.34533,0.62022,0.5535,0.54499,0.28569,0.00789,0.01323,3.49417,1.14686,0.00100687,0.00100687,0.00100687
22,1800.18,0.00855,0.01474,3.71613,1.11316,0.86697,0.56705,0.65339,0.39622,0.84016,0.55032,0.62588,0.33115,0.00762,0.01357,3.10246,1.13985,0.000973861,0.000973861,0.000973861
23,1881.75,0.00845,0.01455,3.63956,1.10451,0.73085,0.52323,0.56776,0.36343,0.72478,0.51522,0.5625,0.31501,0.00775,0.0142,3.46474,1.13016,0.000940855,0.000940855,0.000940855
24,1962.8,0.00843,0.01435,3.57909,1.11368,0.7496,0.57332,0.62241,0.3783,0.69414,0.56254,0.60868,0.31668,0.00749,0.01329,2.84646,1.12733,0.000907848,0.000907848,0.000907848
25,2044.07,0.00846,0.01451,3.54725,1.09686,0.77289,0.53758,0.60059,0.36424,0.80953,0.51235,0.58128,0.31679,0.00755,0.01293,3.24385,1.12816,0.000874842,0.000874842,0.000874842
26,2125.22,0.0085,0.01426,3.60097,1.09279,0.79253,0.55439,0.63591,0.38486,0.77877,0.53927,0.61682,0.32842,0.00756,0.01309,2.92348,1.127,0.000841835,0.000841835,0.000841835
27,2206.46,0.00818,0.01346,3.27176,1.08225,0.83982,0.61535,0.66346,0.41377,0.82966,0.61015,0.65283,0.34886,0.00748,0.01324,2.78069,1.11708,0.000808828,0.000808828,0.000808828
28,2288.28,0.00855,0.01468,3.5555,1.0993,0.76181,0.58772,0.64027,0.38802,0.74305,0.58312,0.62961,0.32187,0.00732,0.01316,3.18804,1.11987,0.000775822,0.000775822,0.000775822
29,2369.48,0.00833,0.01414,3.35765,1.07754,0.63972,0.5572,0.61151,0.37841,0.63295,0.56504,0.60208,0.31991,0.00741,0.01305,3.12507,1.11237,0.000742815,0.000742815,0.000742815
30,2450.87,0.00808,0.01367,3.23406,1.08443,0.76641,0.62844,0.65679,0.40239,0.75783,0.61618,0.6486,0.3429,0.00732,0.01326,2.91849,1.10975,0.000709809,0.000709809,0.000709809
31,2532.1,0.0081,0.01375,3.25417,1.07227,0.77572,0.6106,0.68018,0.41916,0.7695,0.60168,0.66695,0.3547,0.00713,0.01263,2.72742,1.09377,0.000676802,0.000676802,0.000676802
32,2613.77,0.00808,0.01393,3.22063,1.07772,0.76276,0.63968,0.66751,0.40815,0.74451,0.62473,0.63487,0.32839,0.0072,0.01307,2.79511,1.10461,0.000643795,0.000643795,0.000643795
33,2695.01,0.00803,0.01347,3.16482,1.06551,0.70807,0.64322,0.6593,0.41685,0.70907,0.64026,0.65305,0.35558,0.00732,0.01295,2.70283,1.11212,0.000610789,0.000610789,0.000610789
