epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.536,1.28272,1.58548,1.1492,0.40458,0.30142,0.3775,0.23181,1.34917,1.71461,1.18535,0.000550425,0.000550425,0.000550425
2,128.739,1.39535,1.22449,1.21734,0.36937,0.33804,0.28801,0.18264,1.31766,2.38709,1.27164,0.00109514,0.00109514,0.00109514
3,190.661,1.4065,1.23055,1.24764,0.64718,0.44163,0.46128,0.26128,1.32722,1.58815,1.30003,0.00162886,0.00162886,0.00162886
4,252.972,1.41712,1.20691,1.2414,0.59929,0.49803,0.50512,0.27739,1.34364,1.34647,1.26231,0.00161749,0.00161749,0.00161749
5,315.138,1.39569,1.15131,1.23365,0.61044,0.49876,0.53111,0.32389,1.21688,1.05257,1.19453,0.00160099,0.00160099,0.00160099
6,377.318,1.33879,1.03058,1.19112,0.81209,0.41174,0.51123,0.30516,1.25243,1.57762,1.20129,0.00158448,0.00158448,0.00158448
7,439.062,1.38242,1.06064,1.20232,0.57602,0.46804,0.50726,0.30502,1.25847,1.09045,1.20264,0.00156798,0.00156798,0.00156798
8,500.921,1.33237,1.01474,1.19563,0.68169,0.55337,0.58944,0.34851,1.18056,1.12882,1.15559,0.00155148,0.00155148,0.00155148
9,562.905,1.30762,1.00909,1.17563,0.81174,0.51364,0.60539,0.36511,1.16707,0.95897,1.17174,0.00153497,0.00153497,0.00153497
10,624.952,1.29351,0.99952,1.18208,0.77357,0.55147,0.6033,0.36969,1.21074,0.9013,1.17296,0.00151847,0.00151847,0.00151847
11,687.16,1.29547,0.97034,1.1699,0.75166,0.59564,0.62488,0.37376,1.19129,0.85945,1.15911,0.00150197,0.00150197,0.00150197
12,749.28,1.25084,0.89628,1.16081,0.70369,0.5644,0.60802,0.36401,1.16075,0.93924,1.15553,0.00148546,0.00148546,0.00148546
13,811.17,1.24344,0.89057,1.13557,0.81669,0.56662,0.63843,0.39154,1.11708,0.86615,1.13106,0.00146896,0.00146896,0.00146896
14,873.269,1.22423,0.87607,1.15162,0.77499,0.58826,0.65468,0.39394,1.09635,0.80262,1.11553,0.00145246,0.00145246,0.00145246
15,935.276,1.25421,0.87272,1.13423,0.76176,0.59269,0.64972,0.35964,1.1625,0.87306,1.14921,0.00143595,0.00143595,0.00143595
16,997.095,1.19422,0.82854,1.11896,0.81117,0.60141,0.67507,0.42348,1.11271,0.80442,1.11414,0.00141945,0.00141945,0.00141945
17,1059.11,1.21984,0.82636,1.13502,0.73927,0.60265,0.6464,0.39746,1.1045,0.73061,1.11098,0.00140295,0.00140295,0.00140295
18,1120.9,1.19432,0.82968,1.12568,0.80492,0.60233,0.65518,0.39652,1.08582,0.76799,1.10611,0.00138644,0.00138644,0.00138644
19,1182.65,1.18014,0.79197,1.13449,0.79732,0.57791,0.64059,0.39621,1.11094,0.75692,1.11977,0.00136994,0.00136994,0.00136994
20,1244.38,1.20162,0.8216,1.12913,0.8358,0.57815,0.65936,0.41353,1.12416,0.77928,1.13501,0.00135344,0.00135344,0.00135344
21,1306.2,1.15596,0.7696,1.11304,0.7914,0.60949,0.68256,0.41572,1.06497,0.75222,1.09544,0.00133693,0.00133693,0.00133693
22,1367.9,1.15398,0.77438,1.10412,0.79892,0.65971,0.68982,0.42594,1.0722,0.70092,1.10909,0.00132043,0.00132043,0.00132043
23,1429.94,1.17872,0.76693,1.11721,0.77191,0.64433,0.686,0.41554,1.10154,0.72673,1.10513,0.00130393,0.00130393,0.00130393
24,1491.68,1.13308,0.69577,1.09828,0.74295,0.62667,0.66581,0.40345,1.07047,0.75453,1.10489,0.00128742,0.00128742,0.00128742
25,1553.43,1.11222,0.74277,1.09382,0.79719,0.6062,0.6794,0.41148,1.10525,0.75166,1.11723,0.00127092,0.00127092,0.00127092
26,1615.28,1.15,0.73081,1.12488,0.82655,0.62067,0.68636,0.41978,1.09373,0.71856,1.10211,0.00125442,0.00125442,0.00125442
27,1677.22,1.11814,0.7112,1.09773,0.85618,0.6137,0.68727,0.4204,1.10006,0.66135,1.09743,0.00123791,0.00123791,0.00123791
28,1739.09,1.09918,0.6801,1.07849,0.80249,0.62308,0.66929,0.4092,1.09054,0.73039,1.1103,0.00122141,0.00122141,0.00122141
29,1800.96,1.09869,0.67915,1.07474,0.85295,0.61741,0.69391,0.4212,1.05727,0.67016,1.09278,0.00120491,0.00120491,0.00120491
30,1862.82,1.09334,0.6995,1.0748,0.79704,0.62497,0.68762,0.41062,1.04394,0.74098,1.09296,0.0011884,0.0011884,0.0011884
31,1924.61,1.08191,0.67889,1.07818,0.77718,0.6337,0.68947,0.42746,1.04443,0.67161,1.08094,0.0011719,0.0011719,0.0011719
